Name,Version,Package,Status
VMware.VimAutomation.StorageUtility,1.6.0.0,,1

VMware.VimAutomation.Vds,13.0.0.20803944,,1

VMware.VimAutomation.Vmc,13.0.0.20797723,,1

VMware.VimAutomation.vROps,12.5.0.19167825,,1

VMware.VimAutomation.WorkloadManagement,12.4.0.18627055,,1

VMware.VumAutomation,12.7.0.20091294,,1

VMware.PowerCLI,13.0.0.20829139,vmware-powercli-psmodule,1

VMware.Sdk.Nsx.Policy,4.0.0.20829136,,1
